Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
2021-03-09,117631885,2692364,66621154,48318367,414677,2.29,56.64,4.04,192
2021-03-10,118098952,2702426,66856510,48540016,467067,2.29,56.61,4.04,192
2021-03-11,118575835,2712638,67129127,48734070,476883,2.29,56.61,4.04,192
2021-03-12,119065151,2722762,67397683,48944706,489316,2.29,56.61,4.04,192
2021-03-13,119519364,2731196,67650215,49137953,454213,2.29,56.6,4.04,192
2021-03-14,119879810,2737159,67895903,49246748,360446,2.28,56.64,4.03,192
2021-03-15,120228591,2744616,68185782,49298193,348781,2.28,56.71,4.03,192
2021-03-16,120701640,2755186,68452267,49494187,473049,2.28,56.71,4.02,192
2021-03-17,121241068,2765481,68716803,49758784,539428,2.28,56.68,4.02,192
2021-03-18,121794627,2776519,68985879,50032229,553559,2.28,56.64,4.02,192
2021-03-19,122356343,2787612,69264940,50303791,561716,2.28,56.61,4.02,192
2021-03-20,122855285,2796312,69523151,50535822,498942,2.28,56.59,4.02,192
2021-03-21,123278672,2802181,69803250,50673241,423387,2.27,56.62,4.01,192
2021-03-22,123695333,2810220,70137879,50747234,418875,2.27,56.7,4.01,192
2021-03-23,124209643,2821726,70451021,50936896,514310,2.27,56.72,4.01,192
2021-03-24,124843218,2832153,70786663,51224402,635576,2.27,56.7,4.0,192
2021-03-25,125494652,2843833,71098480,51552339,651434,2.27,56.65,4.0,192
2021-03-26,126136052,2856726,71463066,51816260,641400,2.26,56.66,4.0,192
2021-03-27,126720792,2866858,71768319,52085615,584740,2.26,56.63,3.99,192
2021-03-28,127190873,2874098,72097107,52219668,470081,2.26,56.68,3.99,192
2021-03-29,127649131,2882559,72401543,52365029,458258,2.26,56.72,3.98,192
2021-03-30,128217581,2894654,72736786,52586141,568450,2.26,56.73,3.98,192
2021-03-31,128900516,2907496,73119295,52873725,682935,2.26,56.73,3.98,192
2021-04-01,129612373,2919907,73464081,53228385,711857,2.25,56.68,3.97,192
2021-04-02,130246167,2930587,73784288,53531292,633794,2.25,56.65,3.97,192
2021-04-03,130775801,2939719,74150289,53685793,529634,2.25,56.7,3.96,192
2021-04-04,131328758,2947101,74498477,53883180,552957,2.24,56.73,3.96,192
2021-04-05,131818062,2954827,74846290,54016945,489304,2.24,56.78,3.95,192
2021-04-06,132422295,2967447,75216286,54238562,604233,2.24,56.8,3.95,192
2021-04-07,133106608,2982785,75699591,54424232,684313,2.24,56.87,3.94,192
2021-04-08,133946462,2997618,76094850,54853994,839854,2.24,56.81,3.94,192
2021-04-09,134694522,3011516,76548563,55134443,752847,2.24,56.83,3.93,192
2021-04-10,135359190,3024376,76933557,55401257,664668,2.23,56.84,3.93,192
2021-04-11,136050057,3033754,77464029,55552274,690867,2.23,56.94,3.92,192
2021-04-12,136666545,3043639,77858761,55764145,616488,2.23,56.97,3.91,192
2021-04-13,137446191,3057473,78345223,56043495,779646,2.22,57.0,3.9,192
2021-04-14,138263254,3071572,78792113,56399569,817063,2.22,56.99,3.9,192
2021-04-15,139080030,3085244,79236515,56758271,816776,2.22,56.97,3.89,192
2021-04-16,139934945,3098493,79740632,57095820,854915,2.21,56.98,3.89,192
2021-04-17,140723160,3111045,80259168,57352947,788268,2.21,57.03,3.88,192
2021-04-18,141408751,3120105,80839359,57449287,685591,2.21,57.17,3.86,192
2021-04-19,142102363,3130997,81374734,57596632,693612,2.2,57.26,3.85,192
2021-04-20,142956456,3145310,81979571,57831575,854093,2.2,57.35,3.84,192
2021-04-21,143846433,3160268,82491871,58194294,889977,2.2,57.35,3.83,192
2021-04-22,144746200,3174159,83128167,58443874,899767,2.19,57.43,3.82,192
2021-04-23,145649953,3189350,83767999,58692604,903753,2.19,57.51,3.81,192
2021-04-24,146471022,3202638,84344290,58924094,821069,2.19,57.58,3.8,192
2021-04-25,147193478,3213065,84878104,59102309,722456,2.18,57.66,3.79,192
2021-04-26,147876137,3224716,85565470,59085951,682659,2.18,57.86,3.77,192
2021-04-27,148720592,3239679,86246374,59234539,844455,2.18,57.99,3.76,192
2021-04-28,149626600,3255728,86843039,59527833,906008,2.18,58.04,3.75,192
2021-04-29,150524258,3271487,87550355,59702416,897658,2.17,58.16,3.74,192
2021-04-30,151403270,3285503,88236951,59880816,879012,2.17,58.28,3.72,192
2021-05-01,152200029,3298769,88919401,59981859,796759,2.17,58.42,3.71,192
2021-05-02,152874414,3308794,89612415,59953205,674385,2.16,58.62,3.69,192
2021-05-03,153555936,3320593,90255904,59979439,681522,2.16,58.78,3.68,192
2021-05-04,154363355,3334656,90912804,60115895,807419,2.16,58.9,3.67,192
2021-05-05,155204557,3349539,91626286,60228732,841202,2.16,59.04,3.66,192
2021-05-06,156074567,3364191,92301898,60408478,870010,2.16,59.14,3.64,192
2021-05-07,156906973,3378587,92998027,60530359,832406,2.15,59.27,3.63,192
2021-05-08,157692702,3391886,93709032,60591784,785729,2.15,59.43,3.62,192
2021-05-09,158334279,3402092,94371825,60560362,641578,2.15,59.6,3.6,192
2021-05-10,158956114,3413215,95000511,60542388,621835,2.15,59.77,3.59,192
2021-05-11,159694580,3427456,95751515,60515609,738483,2.15,59.96,3.58,192
2021-05-12,160454640,3441310,96399064,60614266,760060,2.14,60.08,3.57,192
2021-05-13,161179904,3454992,97089181,60635731,725264,2.14,60.24,3.56,192
2021-05-14,161897925,3468051,97754528,60675346,718021,2.14,60.38,3.55,192
2021-05-15,162525945,3480252,98397065,60648628,628020,2.14,60.54,3.54,192
2021-05-16,163074549,3490306,99064469,60519774,548604,2.14,60.75,3.52,192
2021-05-17,163614578,3501510,99808931,60304137,540029,2.14,61.0,3.51,192
2021-05-18,164237099,3515708,100552044,60169347,624883,2.14,61.22,3.5,193
2021-05-19,164908717,3529270,101250071,60129376,671618,2.14,61.4,3.49,193
2021-05-20,165188667,3542325,101886760,59759582,628617,2.14,61.68,3.48,193
2021-05-21,165814687,3555333,102501548,59757806,626020,2.14,61.82,3.47,193
2021-05-22,166392887,3566860,103118309,59707718,578200,2.14,61.97,3.46,193
2021-05-23,166869422,3576613,103620280,59672529,476535,2.14,62.1,3.45,193
2021-05-24,167323965,3585660,104247872,59490433,454543,2.14,62.3,3.44,193
2021-05-25,167856146,3598840,104824935,59432371,532181,2.14,62.45,3.43,193
2021-05-26,168424727,3611568,105380748,59432411,568581,2.14,62.57,3.43,193
2021-05-27,168979456,3624610,106078106,59276740,554729,2.15,62.78,3.42,193
2021-05-28,169479741,3636563,106633069,59210109,500285,2.15,62.92,3.41,193
2021-05-29,169961055,3647313,107140669,59173073,481314,2.15,63.04,3.4,193
2021-05-30,170352480,3655429,107630598,59066453,391425,2.15,63.18,3.4,193
2021-05-31,170731385,3664137,108159767,58907481,378905,2.15,63.35,3.39,193
2021-06-01,171195110,3679473,108743650,58771987,463725,2.15,63.52,3.38,193
2021-06-02,171680812,3691282,109271887,58717643,485702,2.15,63.65,3.38,193
2021-06-03,172169929,3701200,109700897,58767832,489117,2.15,63.72,3.37,193
2021-06-04,172589646,3712141,110226256,58651249,419717,2.15,63.87,3.37,193
2021-06-05,172988007,3721302,110704680,58562025,398361,2.15,64.0,3.36,193
2021-06-06,173310648,3728451,111146013,58436184,322641,2.15,64.13,3.35,193
2021-06-07,173631266,3736513,111567881,58326872,320618,2.15,64.26,3.35,193
2021-06-08,173997437,3746919,111982400,58268118,366171,2.15,64.36,3.35,193
2021-06-09,174416271,3757343,112434908,58224020,418834,2.15,64.46,3.34,193
